Author, Basename, URL
Doc, birthstones, http://tffs.castraponere.com/files/minetest/birthstones-mod-1.2.zip
minetesting, steel, https://github.com/VanessaE/minetest-steel/
Don, mycorners, https://github.com/DonBatman/mycorners/
wulfsdad, fishing, http://mirkolinux.wordpress.com/2011/12/03/rope-mod-for-minetest/
VanessaE, ilights, https://github.com/VanessaE/ilights/
stu, shooter, https://github.com/stujones11/shooter/
Calinou, bedrock, https://dl.dropboxusercontent.com/u/82342922/minetest/carbone-mods/bedrock.zip
Calinou, meze, https://lut.im/tLIpVFgY/GZ4333C6
srifqi, advancedban, https://github.com/srifqi/advancedban/
Wuzzy, playereffects, https://repo.or.cz/w/minetest_playereffects/
Krock, u_skins, https://github.com/SmallJoker/minetest-u_skinsdb/
Wuzzy, mana, https://repo.or.cz/w/minetest_mana/
ShadowNinja, areas, https://github.com/ShadowNinja/areas/
Wuzzy, hudbars, https://repo.or.cz/w/minetest_hudbars/
Sokomine, colormachine, https://github.com/Sokomine/colormachine/
paramat, landup, https://github.com/paramat/landup/
Calinou, carbone_mobs, https://github.com/calinou/carbone_mobs/
red, books_plus, http://www.wtfpl.net/txt/copying/
PilzAdam, carts, https://github.com/PilzAdam/carts/
Jeija, throwing, https://github.com/Jeija/minetest-mod-throwing/
kaeza, irc, https://github.com/kaeza/minetest-irc/
red, nyancats_plus, http://www.wtfpl.net/txt/copying/
jojoa1997, special_tools, https://github.com/jojoa1997/special_tools/
BlockMen, torches, https://github.com/BlockMen/torches/
Rui, carpets, https://github.com/Rui914/carpets/
Neuromancer, phonics, https://github.com/Neuromancer56/phonics/
sofar, sedimentology-mt, https://github.com/sofar/sedimentology-mt/
Amaz, interact, https://github.com/Amaz1/interact/
addi, arrow_signs, https://bitbucket.org/adrido/arrow_signs/
srifqi, amgmt, https://github.com/srifqi/amgmt/
jojoa1997, peaceful_npc, https://github.com/jojoa1997/peaceful_npc/
LandMine, uranium, http://minus.com/lmwvh2puEerlk
Minetestforfun, spidermob, https://github.com/Ombridride/minetest-spidermob-v1/
Hybrid Dog, sumpf, https://github.com/HybridDog/sumpf/
prestidigitator, prestibags, https://github.com/prestidigitator/minetest-mod-prestibags/
PilzAdam, item_drop, https://github.com/PilzAdam/item_drop/
cornernote, towntest, https://github.com/cornernote/minetest-towntest/
minermoder27, buildtest, https://github.com/minermoder27/minetest-buildtest/
paramat, riverdev, https://github.com/paramat/riverdev/
BlockMen, beds, https://github.com/BlockMen/beds/
Sokomine, markers, https://github.com/Sokomine/markers/
BlockMen, crafting, https://www.dropbox.com/s/s1c4zpekpxmy52n/craftingpack-2_0_1-BlockMen.zip
Calinou, names_per_ip, https://dl.dropboxusercontent.com/u/82342922/minetest/carbone-mods/names_per_ip.zip
slemon, chain_transfer, https://github.com/slemonide/chain_transfer/
paramat, noisegrid, https://github.com/paramat/noisegrid/
PilzAdam, clean, http://ompldr.org/vZjM5MA/clean.zip
mtmodder148, more_coal, https://github.com/MT-Modder/more_coal/
vitaminx, pizza, https://github.com/vitaminx/pizza/
sfan5, worldedit, https://github.com/Uberi/MineTest-WorldEdit/
Don, myroofs, https://github.com/DonBatman/myroofs/
xyz, sethome, https://github.com/downloads/xyzz/minetest-mods/sethome.zip
srifqi, carpet3d, https://github.com/srifqi/carpet3d/
